descripcion,id,titular
"Tras la derrota en el Capwell, ‘Palillo’ dice que añora ver a un equipo azul ‘de juego rápido, vistoso, creativo y que en el actual ‘sé corre mucho’.",[12],Carlos Torres Garcés:  Emelec pudo ser goleado por Delfín SC; la salida de Ismael Rescalvo costaría mucho dinero
"La Selección puede sellar de visita su boleto a Catar 2022, pero jugará  en un país donde tiene ocho derrotas premundialistas.",[13],Ecuador nunca ha conseguido puntos en Paraguay por las eliminatorias al Mundial. ¿El jueves será la primera vez?
Esta cartelera será transmitida por UFC Fight Pass.,[14],Cristhian 'Demoledor' Rivas pelea en la cartelera UWC 32 este viernes 25 de marzo
"Rusa dominó el ranking en el 2019 y la escoltó la ecuatoriana Glenda Morejón que había ganado el Gran Premio Cantonés de Marcha, realizado en La Coruña, España.",[15],"Elena Lashmanova, campeona olímpica en 2012 y mundial en 2013 en los 20 km marcha, sancionada dos años y desposeída de sus títulos por doping"
"(VIDEO) Los hinchas en redes sociales piden la salida del técnico español Ismael Rescalvo, algo que el DT no piensa.",[16],"‘Estoy más fuerte que nunca’, dice Ismael Rescalvo, quien no piensa en renunciar en Emelec tras su segunda derrota"
El 'Demoledor' firmó dos de los cinco goles de Ecuador en Alemania 2006 donde la Tricolor alcanzó los octavos de final.,[17],"Carlos Tenorio: El 99,9 % de los ecuatorianos no pensábamos que esta Selección iría al Mundial. Hay que ser muy sinceros"
La noche de este lunes se completa el plantel con la llegada de los últimos ‘legionarios’.,[18],Ecuador inició entrenamientos en el predio de Conmebol con miras al choque con Paraguay
"Portugal buscará ante Turquía el pase a la final de la repesca, a jugarse el 29 de marzo en Oporto, contra el vencedor de la llave Italia y Macedonia del Norte.",[19],Cristiano Ronaldo y João Félix concentrados con su selección en busca del boleto para jugar el Mundial de Catar
"Un millón de entradas, se venderán a 26,4 dólares y tendrán opción a presenciar en directo todos los deportes. Otro 50% costarán menos de 55 dólares.",[20],"Para los Juegos Olímpicos París 2024, la mitad de los boletos constarán menos de 55 dólares"
Los guaraníes son el primer equipo en comenzar los entrenamientos previos a la penúltima fecha de la eliminatoria sudamericana.,[21],Paraguay se toma en serio el partido ante Ecuador y arrancó su preparación seis días antes
,[22],Barcelona SC y una semana de infortunios 
,[23],Tarde de ganar por medio a cero
,[24],"Qatar 2022, el Mundial de las restricciones"
,[25],LigaPro: fotos trucadas y ataque a la libertad de expresión
,[26],Todo proyecto exitoso pasa por un gran DT
,[27],Judicatura confirmó inocencia de magistrados en el caso de Seguros Sucre
,[28],Kylie Jenner compartió en Youtube un emotivo vídeo sobre el nacimiento de su hijo a quien ya no llamará Wolf
,[29],Asamblea Nacional debate ley de inversiones en medio de la incertidumbre y anuncios de archivo
,[30],Cancillería dice que toma atención a caso de presunta violación en Universidad El Zamorano; Policía de Honduras detuvo a ecuatoriano 
,[31],"Alcalde de Quito recibirá este jueves a representantes del taxismo; mientras tanto, anuncian que marchas y plantones continuarán"
,[32],"100 vacantes a Estados Unidos para maestros ecuatorianos, conozca cómo postular"
,[33],"Challenger de Salinas: Emilio Gómez, campeón vigente, lidera lista de inscritos"
,[34],"‘Moon Knight’, un héroe con una enfermedad mental diagnosticada: Óscar Isaac contrató a su hermano para la doble actuación"
,[35],Periódico pro-Kremlin publica cifra de casi 10.000 soldados rusos muertos y luego lo borra
